Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland
Areal series, starting in 1910
Last updated 01-Nov-2024 10:45
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1964   36.6   66.5   70.6  108.2  150.5  154.9  131.6  124.7  106.7   70.1   43.7   30.6   134.9   329.3   411.2   220.4  1094.6
1965   48.3   47.4  103.8  149.7  123.4  129.0  128.3  135.4   69.1   82.8   59.3   31.9   126.3   376.9   392.7   211.2  1108.3
1966   24.9   44.0   93.7  125.2  178.6   99.8  158.2  138.6   79.8   65.7   48.1   27.8   100.8   397.6   396.6   193.5  1084.4
1967   34.4   56.8   95.1  133.7  138.2  199.9  116.3  122.5   88.6   82.9   45.9   36.9   119.0   367.0   438.7   217.4  1151.3
1968   29.4   82.4   81.2  158.6  139.5  186.0  113.1  170.7   90.6   51.8   47.1   26.2   148.7   379.3   469.8   189.5  1176.6
1969   28.2   65.1   96.1  156.8  120.9  197.4  149.8  145.5  100.0   69.2   49.4   28.4   119.5   373.8   492.7   218.6  1206.8
1970   25.9   89.0  113.8  138.5  125.9  223.1   99.2  130.8   84.7   65.2   45.4   33.3   143.2   378.1   453.1   195.2  1174.6
1971   22.8   51.8   80.8  129.1  193.5  147.3  176.0  123.6  126.1   91.1   42.6   22.6   107.8   403.4   447.0   259.9  1207.4
1972   31.3   47.2  101.4  133.0  130.4  149.1  179.7  133.9  115.7   91.0   47.0   30.5   101.1   364.8   462.7   253.7  1190.3
1973   29.7   71.3  113.4  135.0  143.3  140.9  133.2  146.8  102.0   87.7   50.4   27.1   131.6   391.7   420.9   240.1  1180.8
1974   30.0   44.8   99.5  186.0  160.0  186.8  136.8  131.9  107.4   64.2   46.9   27.1   101.9   445.5   455.4   218.5  1221.3
1975   30.4   81.2  106.9  110.7  221.1  208.3  143.7  159.3   97.4   76.1   49.4   29.5   138.7   438.7   511.4   222.9  1314.1
1976   31.4   48.6   90.7  121.4  128.6  141.3  185.1  217.5   82.5   65.0   58.5   37.4   109.4   340.6   544.0   206.1  1208.0
1977   43.9   65.0   72.4  136.4  198.2  182.6  170.4  167.9   91.1   68.9   50.6   31.4   146.3   407.0   520.9   210.6  1278.9
1978   39.2   66.4   86.2  108.2  187.7  155.8  127.2   90.7   83.0   68.5   44.0   21.3   137.0   382.2   373.7   195.5  1078.2
1979   38.8   78.4   95.5  108.8  154.5  158.3  106.8  112.3  118.9   65.4   44.6   30.3   138.5   358.8   377.4   228.9  1112.6
1980   31.7   42.2   77.8  154.8  222.8  121.9  100.9   99.9   80.2   72.4   39.1   20.2   104.2   455.4   322.8   191.7  1064.0
1981   31.4   68.3   89.0  180.2  159.9  132.8  117.1  139.5  100.2   86.9   41.6   30.2   119.9   429.1   389.4   228.7  1177.0
1982   32.2   57.5  108.1  135.5  196.0  144.4  179.3  123.4   90.3   56.0   39.7   27.6   119.8   439.6   447.1   186.0  1190.0
1983   26.4   65.0   60.4  124.3  100.0  150.7  174.2  150.7   79.8   65.3   40.9   20.9   119.0   284.7   475.6   186.1  1058.6
1984   32.5   44.5   62.4  175.5  199.4  139.0  167.6  164.4   78.3   70.8   32.0   30.5    98.0   437.3   471.0   181.1  1196.9
1985   42.5   76.8   95.3  109.0  157.9  155.3  101.1  111.3   80.9   86.9   44.7   23.4   149.8   362.1   367.6   212.4  1084.9
1986   31.5   75.6  107.4  118.9  140.8  188.6  121.7  125.0  119.9   85.5   43.2   24.1   130.5   367.1   435.2   248.7  1182.2
1987   33.4   58.3  100.9  114.3  169.5  116.6  107.6  124.1  135.8   75.5   40.7   26.6   115.8   384.7   348.4   252.0  1103.3
1988   36.9   56.3   87.3  118.2  187.5  174.9  108.9  114.2  105.4   64.3   59.1   23.6   119.8   393.0   398.0   228.8  1136.6
1989   35.3   68.0   98.6  124.9  202.8  175.3  214.7  121.4  104.1   66.9   64.8   32.5   126.8   426.3   511.5   235.9  1309.4
1990   32.3   53.4   79.1  157.3  191.0  117.4  200.1  115.6   96.5   65.3   49.5   24.0   118.2   427.4   433.1   211.3  1181.5
1991   45.1   60.6   74.5  145.7  153.9  130.8  137.8  141.7  137.1   60.5   41.0   22.5   129.7   374.2   410.2   238.6  1151.2
1992   41.8   52.2   64.8   90.9  218.7  170.9  114.9  132.3   85.2   71.9   42.1   25.7   116.6   374.4   418.0   199.1  1111.4
1993   25.7   35.4   96.7  105.3  144.1  110.0  108.0  120.2  106.9   76.6   51.6   26.1    86.8   346.1   338.3   235.0  1006.6
1994   30.0   55.8   88.6  127.9  205.5  143.5  149.1  130.4  107.6   72.3   37.5   31.8   111.9   421.9   423.0   217.5  1180.0
1995   35.1   61.6   94.4  121.8  166.8  215.2  182.1  219.1   97.0   76.3   44.5   40.8   128.5   382.9   616.3   217.8  1354.5
1996   22.6   72.0   65.6   99.8  172.5  190.0  144.3  123.5  140.3   66.0   63.4   33.0   135.4   337.9   457.9   269.7  1193.1
1997   34.9   58.1   95.0  105.2  170.3  147.0  152.9  171.3  134.1   93.4   30.7   24.0   126.1   370.5   471.1   258.2  1217.0
1998   31.7   36.8   63.4  133.4  159.7  142.1  104.9  118.9  106.2   96.7   53.8   26.8    92.5   356.5   365.9   256.6  1074.3
1999   35.3   70.9  102.8  132.4  157.6  134.4  161.7  148.5  101.3   65.9   44.5   33.2   133.1   392.8   444.6   211.7  1188.5
2000   44.9   60.1   82.3  127.3  231.8  142.7  146.2  134.7   98.0   79.9   51.9   31.0   138.1   441.4   423.6   229.8  1230.8
2001   51.7   75.8  117.1  136.7  210.1  130.9  107.4  127.4   95.3   62.0   37.3   43.0   158.6   463.9   365.7   194.6  1194.8
2002   27.8   53.1  102.5  138.7  159.2  127.4  100.6  132.1  109.8   73.6   38.4   24.7   123.8   400.5   360.1   221.8  1087.9
2003   39.4   91.8  143.0  166.1  140.3  162.7  139.2  180.3  113.8  104.6   56.5   31.8   155.9   449.4   482.2   275.0  1369.6
2004   29.2   81.2  109.4  104.1  182.9  118.1  131.5  145.6  118.2   59.3   41.0   33.1   142.1   396.4   395.2   218.4  1153.5
2005   32.1   63.4   84.1  148.0  182.1  131.6  142.4  140.0   99.6   56.6   53.2   27.5   128.7   414.1   414.0   209.4  1160.5
2006   33.7   62.5   70.6  166.5  185.2  171.0  191.1  113.4  109.0   66.4   51.1   37.2   123.7   422.3   475.4   226.5  1257.7
2007   33.5   60.5  123.5  178.7  179.3  124.6  125.2  123.8   95.3   87.2   37.2   34.6   131.2   481.4   373.7   219.7  1203.4
2008   23.5   75.1  108.3  151.7  209.3  143.9  138.6   93.6   81.5   86.4   48.8   32.2   133.2   469.3   376.1   216.7  1192.8
2009   41.6   44.6  111.9  142.1  210.0  201.8  157.0  126.6  101.1   73.8   47.6   28.7   118.4   464.0   485.4   222.6  1286.9
2010   40.7   66.0   96.1  148.3  188.6  155.2  118.8  135.8  110.9   84.0   53.6   40.2   135.4   433.0   409.7   248.5  1238.1
2011   41.0   54.8   89.2  175.2  175.2  136.8  158.7   98.6   96.2   53.9   55.3   23.1   136.0   439.7   394.0   205.4  1158.1
2012   43.7   49.9  124.9  119.1  203.1  108.9   97.9  136.2  112.2   80.8   51.5   28.4   116.7   447.0   343.0   244.5  1156.5
2013   24.8   80.6   86.2  165.0  155.1  143.1  202.6  118.1  101.1   59.4   58.8   21.7   133.8   406.3   463.8   219.3  1216.5
2014   24.7   55.4  106.8  136.1  117.0  121.9  191.8  143.1   99.4   63.9   41.1   34.2   101.8   360.0   456.8   204.4  1135.4
2015   41.5   66.0  107.6  196.3  166.2  127.4  124.6  136.3  124.4   86.7   33.6   20.5   141.7   470.1   388.3   244.6  1231.2
2016   20.9   74.2  104.0  145.1  203.7  141.1  108.6  143.5   96.3   95.2   63.3   20.4   115.6   452.8   393.3   254.7  1216.2
2017   45.9   60.1  117.3  128.0  212.7  106.4  143.2  124.6   93.0   55.4   55.5   31.1   126.4   458.0   374.1   203.9  1173.0
2018   39.3   92.8   89.6  146.7  224.3  215.3  182.2  118.5  104.4   82.1   52.5   30.4   163.1   460.6   516.0   239.1  1378.2
2019   47.4   66.1   99.7  161.7  164.5  157.9  131.5  128.6  109.3   90.7   47.3   28.2   143.9   426.0   418.0   247.2  1232.9
2020   27.3   65.7  101.7  203.7  215.0  134.9  119.6  129.7  112.4   60.5   42.5   26.2   121.2   520.4   384.1   215.4  1239.0
2021   48.6   69.3   89.0  214.5  142.7  165.7  170.4  124.8   89.2   53.9   42.1   22.7   144.1   446.3   460.8   185.2  1232.9
2022   37.6   62.9  157.2  136.2  128.5  168.5  130.3  157.5  108.1   67.7   47.0   31.1   123.2   421.9   456.3   222.9  1232.7
2023   42.5   49.0   96.0  162.0  169.9  226.5  129.0  133.2  122.3   70.1   51.5   26.7   122.6   427.9   488.8   244.0  1278.9
2024   46.8   64.7  101.4  119.2  145.8  139.2  119.2  126.1  125.7   70.1                 138.3   366.4   384.5                
